Term,Catalog Nbr,Acad Prog,Grade,ID
2021,B1,SB016,69,1793
2021,B1,CB001,AB,528
2021,B1,CB025,43,2227
2021,B1,SB001,AB,2192
2021,B1,CB004,29,1928
2021,B1,CB025,55,1929
2021,B1,CB001,46,1999
2021,B1,CB003,39A,2134
2021,B1,CB004,17,1542
2021,B1,CB003,48,2145
2021,B1,CB001,20,1715
2021,B1,CB024,AB,2075
2021,B1,CB023,34,2122
2021,B1,CU020,57,2550
2021,B1,CB001,25,2048
2021,B1,SB001,53,2141
2021,B1,CB004,52,2124
2021,B1,CB004,AB,1994
2021,B1,CB026,60,1963
2021,B1,CB003,76,1971
2021,B1,CB023,23,1974
2021,B1,SB001,UP,31
2021,B1,CB004,18,2085
2021,B1,CB001,UP,2094
2021,B1,CB003,UP,1934
2021,B1,CB003,35A,2179
2021,B1,CB004,37,2027
2021,B1,CB004,UP,1944
2021,B1,CB003,55,2104
2021,B1,SB001,79,2174
2021,B1,SB001,28,2234
2021,B1,CB011,59,1772
2021,B1,CB023,AB,2225
2021,B1,CB001,10,1729
2021,B1,CB011,34,2069
2021,B1,SB001,50,534
2021,B1,CB003,61,1980
2021,B1,CB001,22,1881
2021,B1,CB003,60,2080
2021,B1,CB024,11,1288
2021,B1,CB026,UP,2035
2021,B1,CB004,18,2255
2021,B1,SB001,36A,2198
2021,B1,SB001,23,2252
2021,B1,CB003,UP,2123
2021,B1,SB001,59,2057
2021,B1,CB001,42,2040
2021,B1,CB003,50,2033
2021,B1,CB003,85,2237
2021,B1,CB001,23,2264
2021,B1,CB003,62,2162
2021,B1,CB003,UP,2071
2021,B1,CB003,54,1803
2021,B1,CB003,56,1941
2021,B1,CB024,26,1690
2021,B1,CB004,DPR,1991
2021,B1,CB003,73,1967
2021,B1,CB001,57,1880
2021,B1,CB004,21,1831
2021,B1,CB003,32,2144
2021,B1,SB001,18,2165
2021,B1,CB003,81,2187
2021,B1,CB004,27,1946
2021,B1,CB001,34,2195
2021,B1,CB003,28,2256
2021,B1,CB003,89,2100
2021,B1,CB003,UP,2137
2021,B1,CB004,AB,2036
2021,B1,CB004,19,1986
2021,B1,CB003,33,1965
2021,B1,CB019,51,1336
2021,B1,CB025,AB,1951
2021,B1,SB001,42,2154
2021,B1,CB025,54,1933
2021,B1,CB019,59,1890
2021,B1,CB019,UP,1587
2021,B1,CB025,67,2210
2021,B1,CB001,INC,1973
2021,B1,CB019,65,1886
2021,B1,CB003,37,1982
2021,B1,CB001,17,1954
2021,B1,CB001,AB,1633
2021,B1,CB003,68,1997
2021,B1,CB024,AB,2042
2021,B1,CB004,28,1804
2021,B1,CB003,77,2014
2021,B1,CB024,59,2244
2021,B1,CB004,58,1958
2021,B1,SB001,55,2018
2021,B1,CB023,57,1779
2021,B1,CB023,55,2013
2021,B1,CB001,30,1662
2021,B1,CB024,52,2166
2021,B1,CB025,57,2102
2021,B1,CB004,UP,1937
2021,B1,CB019,46,1694
2021,B1,CB004,UP,2097
2021,B1,SB001,50,1487
2021,B1,CB001,37,2197
2021,B1,CB024,22,2207
2021,B1,CB024,40A,2250
2021,B1,SB001,45,1741
2021,B1,CB026,33,2243
2021,B1,CB011,AB,1673
2021,B1,CB011,30,1721
2021,B1,CB025,60,1962
2021,B1,CB011,12,2054
2021,B1,CB023,12,2081
2021,B1,CB011,32,1515
2021,B1,CB025,83,1992
2021,B1,CB025,UP,2096
2021,B1,SB001,73,4
2021,B1,CB025,45A,2119
2021,B1,SB001,66,2249
2021,B1,CB011,29,1684
2021,B1,SB001,12,1836
2021,B1,SB001,33,1703
