Term,Catalog Nbr,Acad Prog,Grade,ID
2021,B2,SB016,33,1793
2021,B2,CB001,AB,528
2021,B2,CB025,28,2227
2021,B2,CB004,19,1928
2021,B2,CB025,55,1929
2021,B2,CB001,UP,1999
2021,B2,CB003,24A,2134
2021,B2,CB001,53,1762
2021,B2,CB004,21A,1542
2021,B2,CB003,34,2145
2021,B2,CB001,DPR,1715
2021,B2,CB024,DPR,2075
2021,B2,CB004,39,1730
2021,B2,CB023,DPR,2122
2021,B2,CU020,45A,2550
2021,B2,CB001,DPR,2048
2021,B2,SB001,45,2141
2021,B2,CB004,UP,2124
2021,B2,CB004,INC,1994
2021,B2,CB015,23A,1428
2021,B2,CB026,40,1963
2021,B2,CB003,62,1971
2021,B2,CB023,16,1974
2021,B2,SB001,43,31
2021,B2,CB004,22,2085
2021,B2,CB001,33,2094
2021,B2,CB003,UP,1934
2021,B2,CB003,AB,2179
2021,B2,CB004,28,2027
2021,B2,CB004,28,1944
2021,B2,CB003,AB,2104
2021,B2,SB001,67,2174
2021,B2,CB011,24,1772
2021,B2,CB023,LOA,2225
2021,B2,CB001,23,1729
2021,B2,CB011,DPR,2069
2021,B2,SB001,37,534
2021,B2,CB003,50,1980
2021,B2,CB001,DPR,1881
2021,B2,CB003,60,2080
2021,B2,CB026,23,2035
2021,B2,CB004,DPR,2255
2021,B2,SB001,33,2252
2021,B2,CB003,52,2123
2021,B2,SB001,DPR,2057
2021,B2,CB003,53,1782
2021,B2,CB001,24,2040
2021,B2,CB003,31,2033
2021,B2,CB003,UP,2237
2021,B2,CB001,27,1148
2021,B2,CB001,45,1765
2021,B2,CB001,19,2264
2021,B2,CB003,66,2162
2021,B2,CB003,30,2071
2021,B2,CB003,43,1803
2021,B2,CB003,60,1941
2021,B2,CB024,33,1690
2021,B2,CB003,75,1967
2021,B2,CB001,AB,1880
2021,B2,CB004,20,1831
2021,B2,CB003,24,2144
2021,B2,SB001,20,2165
2021,B2,CB003,66,2187
2021,B2,CB004,21A,1946
2021,B2,CB001,9,2195
2021,B2,CB001,37A,1896
2021,B2,CB003,AB,2256
2021,B2,CB003,79,2100
2021,B2,CB003,DPR,2137
2021,B2,CB004,27,2036
2021,B2,CB004,DPR,1986
2021,B2,CB003,15,1965
2021,B2,CB019,DPR,1336
2021,B2,SB001,DPR,2154
2021,B2,CB025,36,1933
2021,B2,CB019,UP,1890
2021,B2,CB019,50,1587
2021,B2,CB025,52,2210
2021,B2,CB019,AB,1886
2021,B2,CB003,40,1982
2021,B2,CB011,DPR,1576
2021,B2,CB003,56,1997
2021,B2,CB004,19,1804
2021,B2,CB003,58,2014
