Term,Catalog Nbr,Acad Prog,Grade,ID
2022,B1,CB003,68,2319
2022,B1,CB019,DPR,2415
2022,B1,CB025,51,2227
2022,B1,CB003,65,2381
2022,B1,CB001,40,1999
2022,B1,CB004,26,2495
2022,B1,CB003,89,1956
2022,B1,CB003,63,2134
2022,B1,CB004,32,2274
2022,B1,CB001,30,650
2022,B1,CB003,59,2145
2022,B1,CB018,64,2224
2022,B1,CB024,30,2468
2022,B1,CB003,52,2412
2022,B1,CB004,28,2379
2022,B1,CB024,3,2075
2022,B1,SB001,90,1820
2022,B1,CB001,52,2048
2022,B1,HB001,UP,2470
2022,B1,CB003,76,2596
2022,B1,CB004,44,1994
2022,B1,CB003,45,2287
2022,B1,CB001,UP,2366
2022,B1,CB023,UP,1974
2022,B1,SB001,61,2481
2022,B1,CB003,60,2569
2022,B1,CB003,58,2179
2022,B1,CB003,53,2308
2022,B1,CB004,38,2027
2022,B1,HB001,LOA,2026
2022,B1,CB003,52,1972
2022,B1,CB025,76,2398
2022,B1,SB001,67,2592
2022,B1,CB004,AB,2299
2022,B1,CB004,30,2529
2022,B1,CB018,DPR,1923
2022,B1,CB011,55,2069
2022,B1,SB001,58,2277
2022,B1,SB001,31,2460
2022,B1,CB004,32,2255
2022,B1,CB024,53,2303
2022,B1,CB004,INC,2367
2022,B1,CZ001,UP,663
2022,B1,SB001,57,2341
2022,B1,CB004,62,2358
2022,B1,CB001,33,2584
2022,B1,CB001,66,2040
2022,B1,CB001,11,2327
2022,B1,SB001,62,2325
2022,B1,CB003,70,2359
2022,B1,SB001,55,2304
2022,B1,CB001,21,2264
2022,B1,SB001,43,2278
2022,B1,CB001,36,2342
2022,B1,CB003,81,2432
2022,B1,CB004,UP,2369
2022,B1,CB003,57,2144
2022,B1,SB001,36,2165
2022,B1,CB001,59,2352
2022,B1,CB004,11,1946
2022,B1,CB004,UP,2074
2022,B1,CB003,76,2186
2022,B1,CB003,54,2410
2022,B1,CB001,18,2195
2022,B1,CB003,12,2256
2022,B1,CB004,19,2036
2022,B1,CB004,34,1986
2022,B1,CB004,59,2404
2022,B1,CB003,72,1965
2022,B1,CB025,73,1951
2022,B1,SB001,32,2483
2022,B1,SB001,30,2154
2022,B1,CB004,AB,2559
2022,B1,CB015,DPR,2459
2022,B1,CB001,22,2270
2022,B1,CB023,57,2356
2022,B1,CB003,91,1585
2022,B1,CB003,71,1982
2022,B1,CB003,DPR,2491
2022,B1,CB024,30,2370
2022,B1,CB003,34,2088
2022,B1,SB001,33,2373
2022,B1,CB004,52,2474
2022,B1,CB003,66,2461
2022,B1,CB023,76,2590
2022,B1,CB004,DPR,2395
2022,B1,CB004,DPR,2349
2022,B1,SB001,61,2375
2022,B1,CB001,44,2337
2022,B1,CB019,58,1694
2022,B1,CB004,52,2507
2022,B1,CB025,73,2397
2022,B1,CB001,57,2197
2022,B1,CB003,75,2482
2022,B1,SB001,59,1741
2022,B1,CB026,87,2243
2022,B1,CB001,55,2544
2022,B1,SB001,DPR,2017
2022,B1,CB001,LOA,1546
2022,B1,CB023,50,2081
2022,B1,CB003,87,2532
2022,B1,CB020,42,2049
2022,B1,CB024,43,2273
2022,B1,CB025,63,2119
2022,B1,CB011,73,1684
2022,B1,CB015,68,2045
2022,B1,SB001,25,1836
2022,B1,CB003,76,2167
2022,B1,SB001,23,1922
2022,B1,CB026,53,1988
2022,B1,CB025,42,2307
2022,B1,CB001,56,2376
2022,B1,SB001,73,2519
2022,B1,CB004,59,2509
2022,B1,CB003,28,2289
2022,B1,CB026,AB,1870
2022,B1,CB004,30,2037
2022,B1,CB003,26,2056
2022,B1,CB003,95,2365
2022,B1,CB004,59,2344
2022,B1,SB001,68,2267
2022,B1,CB023,73,2169
2022,B1,CB004,27,2449
2022,B1,CB026,100,2083
2022,B1,CB004,73,2346
2022,B1,CB023,58,1825
2022,B1,CB004,20,1887
2022,B1,CB001,27,2292
2022,B1,CB003,59,2527
2022,B1,CB004,40,2515
2022,B1,CB019,59,2335
2022,B1,CB004,UP,2348
2022,B1,CB020,43,1689
2022,B1,CB003,53,2333
2022,B1,CB025,63,2060
2022,B1,CB004,24,2329
2022,B1,CB025,67,2077
2022,B1,CB003,88,2423
2022,B1,CB001,36,1924
2022,B1,CB004,63,2041
2022,B1,CB003,71,2291
2022,B1,CB001,53,2372
2022,B1,CB003,54,2448
2022,B1,CB018,85,2111
2022,B1,CB003,36,2276
2022,B1,CB003,31,2298
2022,B1,CB003,58,2011
2022,B1,CB004,51,2351
2022,B1,SB001,40,2595
2022,B1,CB003,64,2312
2022,B1,CB015,24,2076
2022,B1,CB024,40,2392
2022,B1,CB023,26,2385
2022,B1,CB004,34,2430
2022,B1,CB025,90,2378
2022,B1,CB004,8,2282
2022,B1,CB001,24,2493
2022,B1,CB001,22,1467
2022,B1,CB019,53,1665
2022,B1,CB025,69,2396
2022,B1,CB024,30,2089
2022,B1,CB001,34,2442
2022,B1,CB019,42,2345
2022,B1,CB004,84,2109
2022,B1,CB003,75,2168
2022,B1,SB001,33,2153
2022,B1,CB003,63,2512
2022,B1,CB003,85,2338
2022,B1,CB024,43,2391
2022,B1,CB004,56,2008
2022,B1,CB004,33,2280
2022,B1,CB003,52,2436
2022,B1,CB025,52,2070
2022,B1,SB001,28,2350
2022,B1,CB004,52,1977
2022,B1,CB004,60,2005
2022,B1,SB001,23,2558
