Term,Catalog Nbr,Acad Prog,Grade,ID
2018,A1,CB004,64,1418
2018,A1,CB001,52,528
2018,A1,CB004,38,1269
2018,A1,CB003,73,1435
2018,A1,CB023,UP,1325
2018,A1,CB003,83,1510
2018,A1,CB003,76,1204
2018,A1,CB001,42,1518
2018,A1,EB011,DPR,642
2018,A1,SB001,58,1357
2018,A1,CB001,20,1390
2018,A1,CB004,60,1453
2018,A1,CB011,DPR,1372
2018,A1,CB019,86,1037
2018,A1,CB019,84,1349
2018,A1,CB003,90,1282
2018,A1,SB001,AB,1194
2018,A1,SB001,52,1442
2018,A1,CB019,83,1326
2018,A1,SB001,29,1156
2018,A1,SB001,AB,231
2018,A1,SB001,40,1557
2018,A1,CB003,80,1319
2018,A1,CB001,42,1574
2018,A1,CB004,UP,1551
2018,A1,CB001,35,1250
2018,A1,SB001,54,1272
2018,A1,HB001,40,1541
2018,A1,CB019,75,1321
2018,A1,CB003,DPR,1560
2018,A1,SB001,DPR,1544
2018,A1,CB003,79,1538
2018,A1,CB003,72,1456
2018,A1,SB001,84,1451
2018,A1,SB001,54,1494
2018,A1,CB003,87,1274
2018,A1,SB001,61,1500
2018,A1,SB001,75,1358
2018,A1,SB001,DPR,460
2018,A1,CB001,29,1362
2018,A1,SB001,35,1483
2018,A1,CB003,70,1513
2018,A1,SB001,86,1547
2018,A1,CB003,50,1298
2018,A1,CB003,86,1268
2018,A1,CB019,72,1495
2018,A1,CB004,50,1341
2018,A1,CB004,59,1400
2018,A1,CB001,45A,1148
2018,A1,CB004,56,1281
2018,A1,CB001,30,1230
2018,A1,SB001,24,1496
2018,A1,CB003,39,1377
2018,A1,SB001,62,1279
2018,A1,CB004,63,1328
2018,A1,CB001,UP,1264
2018,A1,SB001,AB,1199
2018,A1,CB001,15,1481
2018,A1,CB003,89,1289
2018,A1,CB019,63,1540
2018,A1,CB003,93,1399
2018,A1,CB003,50,1312
2018,A1,SB001,INC,1522
2018,A1,CB004,37,1420
2018,A1,CB019,75,1563
2018,A1,CB001,21,1539
2018,A1,CB001,66,1211
2018,A1,EB010,70,1376
2018,A1,CB004,UP,1342
2018,A1,CB004,55,1146
2018,A1,CB023,UP,820
2018,A1,CB004,59,1034
2018,A1,CB003,72,1478
2018,A1,SB001,DPR,1331
2018,A1,CB001,30,1424
2018,A1,CB004,36,1426
2018,A1,CB003,36,1572
2018,A1,SB001,DPR,1556
2018,A1,CB001,DPR,1552
2018,A1,SB001,52,1294
2018,A1,HB001,51,1476
2018,A1,SB001,75,1134
2018,A1,SB001,52,1523
2018,A1,CB003,88,1142
2018,A1,SB001,76,1370
2018,A1,CB004,65,1352
2018,A1,CB004,72,1497
2018,A1,SB001,32,880
2018,A1,SB001,DPR,946
2018,A1,CB004,66,1558
2018,A1,SB001,22,1470
2018,A1,CB004,96,1379
2018,A1,CB004,63,1396
2018,A1,CB001,32,1549
2018,A1,SB001,36,1486
2018,A1,CB003,71,1433
2018,A1,CB023,57,707
2018,A1,SB001,DPR,1559
2018,A1,SB001,DPR,1095
2018,A1,CB019,66,1391
2018,A1,SB001,37,104
2018,A1,CB001,36,1489
2018,A1,CB001,29,1109
2018,A1,CB019,70,1410
2018,A1,SB001,53,1165
2018,A1,CB001,62,1201
2018,A1,SB001,70,1354
2018,A1,CB004,58,1043
2018,A1,CB001,57,1546
2018,A1,CB004,DPR,1485
2018,A1,CB019,70,1311
2018,A1,CB003,75,1508
2018,A1,CB026,53,1152
2018,A1,CB001,59,1010
2018,A1,SB001,DPR,1170
2018,A1,SB001,41,1459
2018,A1,CB004,37,1450
2018,A1,CB019,82,1277
2018,A1,SB001,53,1368
2018,A1,CB003,70,1462
2018,A1,CB001,DPR,1252
2018,A1,CB001,48,1157
2018,A1,SB001,37,1509
2018,A1,CB004,58,1253
2018,A1,CB004,57,739
2018,A1,CB004,UP,1369
2018,A1,SB001,UP,1438
2018,A1,CB019,41,1564
2018,A1,SB001,35,1505
2018,A1,CB004,66,1247
2018,A1,CB003,88,1267
2018,A1,SB001,DPR,1333
2018,A1,SB001,37,1452
2018,A1,CB026,33,1401
2018,A1,CB004,49,1028
2018,A1,CB001,42,1363
2018,A1,CB019,48,1432
2018,A1,CB004,42,1517
2018,A1,CB003,88,1375
2018,A1,CB004,41,1284
2018,A1,CB003,70,1361
2018,A1,SB001,50,1526
2018,A1,HB001,32,1261
2018,A1,CB001,59,1427
2018,A1,CB001,UP,965
2018,A1,CB011,51,940
2018,A1,CB019,69,1265
2018,A1,CB003,67,1492
2018,A1,CB019,68,1511
2018,A1,SB001,30,1409
2018,A1,CB003,79,1506
2018,A1,CB001,38,1473
2018,A1,SB001,DPR,1524
2018,A1,CB001,UP,1463
2018,A1,CB004,66,1407
2018,A1,CB019,57,1512
2018,A1,CB001,DPR,1467
2018,A1,CB004,33,1405
2018,A1,SB016,35,1182
2018,A1,CU020,51,1520
2018,A1,SB001,DPR,919
2018,A1,CB001,UP,1071
2018,A1,CB003,71,1448
2018,A1,CB004,50,1313
2018,A1,CU020,45A,1521
2018,A1,CB023,30,1568
2018,A1,CB004,53,1129
2018,A1,CB001,57,1115
2018,A1,CB001,32,956
2018,A1,CB019,72,1525
2018,A1,CB004,32,1423
2018,A1,SB001,27,1464
2018,A1,CB004,52,1488
2018,A1,CB003,70,1445
2018,A1,CB001,DPR,25
2018,A1,CB001,DPR,1477
2018,A1,CB004,50,1275
2018,A1,SB001,83,1290
2018,A1,CG031,91,243
2018,A1,CB003,51,1202
2018,A1,EB022,42,1412
2018,A1,SB001,32,1309
2018,A1,SB001,79,1386
2018,A1,CB004,43,1441
2018,A1,CB001,51,1360
2018,A1,SB001,63,1287
2018,A1,SB016,42,686
2018,A1,SB001,DPR,1527
2018,A1,CB001,27,1446
2018,A1,SB001,48,1537
2018,A1,CB004,UP,1490
2018,A1,CB004,41,1153
2018,A1,CB004,UP,1480
2018,A1,SB001,76,1535
2018,A1,CB003,70,1380
2018,A1,CB001,48A,1141
2018,A1,CB004,36,1436
2018,A1,SB001,29,1394
2018,A1,CB004,70,882
2018,A1,CB004,54,1499
2018,A1,SB001,55,1193
2018,A1,CB003,88,1324
2018,A1,SB001,44,1166
2018,A1,CB004,53,1365
2018,A1,CB004,65,1444
2018,A1,CB003,80,1271
2018,A1,CB019,56,1422
2018,A1,CB001,35,1514
2018,A1,SB001,63,1102
2018,A1,SB001,31,1318
2018,A1,CB019,70,1455
2018,A1,CB004,71,1503
2018,A1,CB004,61,1421
2018,A1,CB004,58,1278
2018,A1,CB001,36,1425
2018,A1,CB003,58,1469
2018,A1,SB016,37,922
2018,A1,CB003,76,1403
2018,A1,HB003,DPR,982
2018,A1,CB019,66,950
2018,A1,CB004,81,1335
2018,A1,SB001,DPR,1532
2018,A1,CB003,59,1295
2018,A1,CB001,47A,1080
2018,A1,SB001,69,1039
2018,A1,SB001,61,1345
2018,A1,CB003,50,1338
2018,A1,CB001,36,761
2018,A1,CB003,100,1307
2018,A1,HB003,DPR,524
2018,A1,SB001,51,1519
2018,A1,CB001,53,1033
2018,A1,SB001,DPR,1434
2018,A1,HB003,18,1378
2018,A1,CB001,65,1273
2018,A1,SB001,50,1389
2018,A1,CB001,53,1350
2018,A1,CB019,76,801
2018,A1,CB003,100,1296
2018,A1,CB003,84,568
2018,A1,SB001,52,1382
2018,A1,CB001,DPR,814
2018,A2,CB024,75,1443
2018,A2,CB025,71,1466
2018,A2,CB015,38,1159
2018,A2,CB026,85,1315
2018,A2,CB024,50,1256
2018,A2,CB015,53,1098
2018,A2,CB023,60,1292
2018,A2,CB026,65,1374
2018,A2,CB001,70,1533
2018,A2,CB024,57,1457
2018,A2,CB023,63,1276
2018,A2,CB024,51,1531
2018,A2,CB024,60,1288
2018,A2,CB023,36,1392
2018,A2,CB026,65,1330
2018,A2,CB011,60,1406
2018,A2,CB026,76,1461
2018,A2,CB023,AB,1416
2018,A2,SB001,70,1304
2018,A2,CB025,86,1449
2018,A2,CB026,82,1283
2018,A2,CB011,72,1576
2018,A2,CB023,62,1024
2018,A2,SB001,67,1301
2018,A2,CB026,71,1398
2018,A2,CB020,48,1475
2018,A2,SB001,56,1008
2018,A2,CB023,53,1411
2018,A2,CB023,32,1332
2018,A2,CB026,67,1280
2018,A2,CB020,61,1543
2018,A2,CB018,79,1016
2018,A2,CB023,54,1221
2018,A2,CB025,84,1366
2018,A2,CB011,50,1040
2018,A2,CB023,60,1266
2018,A2,CB026,81,1364
2018,A2,CB011,53,1454
2018,A2,CB026,70,1353
2018,A2,CB023,44,1086
2018,A2,CB023,50,1177
2018,A2,CB011,39,1507
2018,A2,CB024,62,1545
2018,A2,CB026,88,1346
2018,A2,CB015,UP,1344
2018,A2,CB011,51,1515
2018,A2,CB011,LOA,1047
2018,A2,CB011,56,1121
2018,A2,CB023,54,1306
2018,A2,CB026,89,1339
2018,A2,CB025,82,1482
2018,A2,CB026,93,1458
2018,A2,CB026,53,1322
2018,A2,CB026,78,1351
2018,A2,CB023,63,1471
2018,A2,CB015,31,958
2018,A2,CB023,66,1484
2018,A2,CB023,60,1493
2018,A2,CB024,60,1385
2018,A2,CB020,63,1320
2018,A2,CB015,57,1222
2018,A2,CB020,70,1067
2018,A2,CB015,63,1393
2018,A2,CB023,56,1555
2018,A2,CB011,43,1045
2018,A2,CB015,55,1205
2018,A2,CB026,72,1356
2018,A2,CB011,57,1562
2018,A2,CB026,80,1300
2018,A2,CB011,45A,1373
2018,A2,CB015,31,1502
2018,A2,CB011,45A,1548
2018,A2,CB026,84,1270
2018,A2,CB026,89,1310
2018,A2,CB011,72,1429
2018,A2,SB001,AB,1553
2018,A2,CB023,27,1381
2018,A2,CB025,33,1528
2018,A2,CB020,76,1106
2018,A2,CB024,72,1402
2018,A2,CB025,76,1415
2018,A2,CB026,90,1570
2018,A2,CB025,95,1308
2018,A2,CB023,75,1314
2018,A2,CB023,45A,1060
2018,A2,CB020,72,1178
2018,A2,EB015,45A,1387
2018,A2,CB023,37,1404
2018,A2,CB024,39,1317
2018,A2,CB026,67,1316
2018,A2,CB023,63,1291
2018,A2,CB024,55,1340
2018,A2,CB020,66,1208
2018,A2,CB023,67,1355
2018,A2,CB023,41,1305
2018,A2,CB011,60,1529
2018,A2,SB001,78,1155
2018,A2,CB023,67,1439
2018,A2,CB026,57,1293
2018,A2,CB024,54,1006
2018,A2,CB024,36,1472
2018,A2,CB011,40,1417
2018,A2,CB011,29,1195
2018,A2,CB024,70,1465
2018,A2,CB020,60,1234
2018,A2,CB015,67,971
