Term,Catalog Nbr,Acad Prog,Grade,ID
2021,A1,CB004,52,1947
2021,A1,CB003,81,2319
2021,A1,CB001,22,2552
2021,A1,CB001,33A,2015
2021,A1,CB004,26,2581
2021,A1,CB019,74,2415
2021,A1,CB001,36A,2456
2021,A1,CB003,91,2381
2021,A1,CB001,46,2328
2021,A1,CB004,60,2495
2021,A1,CB003,71,1956
2021,A1,CB004,UP,2274
2021,A1,SB001,INC,2554
2021,A1,CB001,33A,2560
2021,A1,CB004,26,2420
2021,A1,CB003,88,2412
2021,A1,SB001,LOA,2231
2021,A1,SB001,70,2458
2021,A1,CB004,UP,2379
2021,A1,SB001,35,2320
2021,A1,CB003,66,2286
2021,A1,CB004,28,2400
2021,A1,CB001,DPR,1430
2021,A1,SB001,84,1820
2021,A1,CB004,60,2208
2021,A1,CB001,43,2433
2021,A1,HB001,81,2470
2021,A1,CB003,80,2596
2021,A1,SB001,DPR,2525
2021,A1,CB004,51,2411
2021,A1,CB004,30,2361
2021,A1,CB004,47,2422
2021,A1,CB003,78,2287
2021,A1,SB001,41,2514
2021,A1,CB001,67,2366
2021,A1,CB004,34,2296
2021,A1,SB001,UP,2481
2021,A1,CB003,90,2569
2021,A1,CB004,LOA,1889
2021,A1,CB003,73,2308
2021,A1,SB001,62,2488
2021,A1,SB001,24,2047
2021,A1,SB001,69,2516
2021,A1,CB004,37,2453
2021,A1,SB001,78,2592
2021,A1,CB011,20,2573
2021,A1,CB004,DPR,2417
2021,A1,CB004,55,2299
2021,A1,SB001,DPR,2247
2021,A1,CB004,AB,7
2021,A1,CB004,54,2529
2021,A1,CB004,44,2522
2021,A1,SB001,70,2277
2021,A1,SB001,71,2460
2021,A1,CB003,DPR,1359
2021,A1,CB001,UP,2484
2021,A1,SB001,UP,2597
2021,A1,SB001,55,1866
2021,A1,SB001,67,2324
2021,A1,CB004,UP,2367
2021,A1,CB004,54,2371
2021,A1,CZ001,50,663
2021,A1,CB004,55,2510
2021,A1,SB001,60,2341
2021,A1,CB004,75,2358
2021,A1,CB001,24,2497
2021,A1,CB001,UP,2584
2021,A1,CB004,19,2462
2021,A1,CB001,52,2327
2021,A1,SB001,74,1895
2021,A1,CB001,48,2402
2021,A1,SB001,50,2317
