Term,Catalog Nbr,Acad Prog,Grade,ID
2020,B1,CB001,PA,528
2020,B1,SB001,PA,1649
2020,B1,CB004,PA,1833
2020,B1,CB019,PA,1299
2020,B1,CB026,PA,1791
2020,B1,CB003,PA,1204
2020,B1,CB003,PA,1819
2020,B1,SB001,PA,1357
2020,B1,CB001,PA,1762
2020,B1,CB019,PA,1829
2020,B1,CB011,F,1882
2020,B1,CB004,PA,1453
2020,B1,CB026,PA,1629
2020,B1,SB001,PA,1630
2020,B1,CB019,PA,1680
2020,B1,CB004,PA,1730
2020,B1,CB001,PA,1650
2020,B1,CB003,PA,1757
2020,B1,CB015,PA,1428
2020,B1,CU020,PA,1013
2020,B1,CB025,PA,1645
2020,B1,SB001,PA,1272
2020,B1,CB003,PA,1794
2020,B1,CB019,PA,1384
2020,B1,SB001,PA,1798
2020,B1,SB001,PA,1581
2020,B1,SB001,PA,1738
2020,B1,CB026,PA,1374
2020,B1,CB001,PA,1371
2020,B1,SB001,PA,1732
2020,B1,CB003,PA,1821
2020,B1,SB001,PA,1186
2020,B1,CB011,F,1772
2020,B1,CB026,PA,1569
2020,B1,SB001,PA,1805
2020,B1,CB019,PA,1902
2020,B1,CB011,PA,1701
2020,B1,CB003,PA,1898
2020,B1,CB019,PA,1298
2020,B1,CB019,PA,1495
2020,B1,CB003,PA,1782
2020,B1,SB001,PA,1567
2020,B1,CB019,PA,1708
2020,B1,CB025,PA,1790
2020,B1,CB001,PA,1148
2020,B1,CB001,PA,1765
2020,B1,CB003,PA,1816
2020,B1,CB025,PA,1596
2020,B1,CB001,PA,1264
2020,B1,CB018,PA,1565
2020,B1,CB003,PA,1610
2020,B1,CB003,PA,1842
2020,B1,CB026,PA,1330
2020,B1,CB003,PA,1590
2020,B1,CB019,PA,1540
2020,B1,CB001,PA,741
2020,B1,CB026,PA,1302
2020,B1,CB001,PA,1695
2020,B1,CB004,PA,1206
2020,B1,CB026,PA,1743
2020,B1,CB001,PA,1896
2020,B1,CB003,PA,1599
2020,B1,SB001,PA,1203
2020,B1,CB019,F,1890
2020,B1,CB003,PA,1656
2020,B1,CB019,PA,1734
2020,B1,CB023,AB,1416
2020,B1,CB019,F,1886
2020,B1,CB003,PA,1710
2020,B1,CU020,PA,1082
2020,B1,CB011,PA,1576
2020,B1,CB023,F,1024
2020,B1,CB003,PA,1736
2020,B1,CB023,PA,1700
2020,B1,CB020,PA,1297
2020,B1,CB019,PA,1586
2020,B1,CB020,PA,1475
2020,B1,CB003,PA,1773
2020,B1,CB003,PA,1676
2020,B1,SB001,PA,1523
2020,B1,CB019,PA,1644
2020,B1,CB001,PA,1900
2020,B1,CB023,PA,1332
2020,B1,CB020,PA,1543
2020,B1,CB003,PA,1671
2020,B1,CB001,F,1549
2020,B1,CB003,PA,1635
2020,B1,CB025,PA,1800
2020,B1,CB025,PA,1636
2020,B1,CB003,PA,1433
2020,B1,CB019,PA,1725
2020,B1,CB011,PA,1348
2020,B1,CB025,PA,1801
2020,B1,CB015,F,1536
2020,B1,CB025,PA,1582
2020,B1,CB026,PA,1625
2020,B1,CB011,F,1721
2020,B1,CB001,AB,1546
2020,B1,CB003,PA,1631
2020,B1,SB001,PA,1919
2020,B1,CB001,AB,1722
2020,B1,SB001,PA,1640
2020,B1,CB020,PA,1285
2020,B1,CB011,AB,1515
2020,B1,CB001,PA,1897
2020,B1,CB011,F,1684
2020,B1,CB001,PA,1620
2020,B1,SB001,PA,1824
2020,B1,CB026,PA,1601
2020,B1,CB003,PA,1768
2020,B1,SB001,PA,1678
2020,B1,CB003,PA,1674
2020,B1,CB011,PA,1121
2020,B1,CB004,PA,1450
2020,B1,CB003,PA,1462
2020,B1,SB001,PA,1711
2020,B1,CB019,PA,1706
2020,B1,CB026,PA,1339
2020,B1,CB026,PA,1867
2020,B1,CB026,PA,1607
2020,B1,CB003,PA,1879
2020,B1,CB019,PA,1892
2020,B1,CB026,PA,1608
2020,B1,SB001,PA,1869
2020,B1,CB020,PA,1561
2020,B1,CB003,PA,1841
2020,B1,CB025,F,1659
2020,B1,CB023,AB,1699
2020,B1,SB016,F,1516
2020,B1,CB004,PA,739
2020,B1,CB026,PA,1677
2020,B1,CB019,PA,1564
2020,B1,CB023,F,1066
2020,B1,SB001,PA,1474
2020,B1,CB015,PA,1668
2020,B1,CB023,AB,1471
2020,B1,SB001,PA,1823
2020,B1,CB011,PA,1856
2020,B1,CB023,PA,1851
2020,B1,CB025,PA,1609
2020,B1,CB003,PA,1595
2020,B1,CB003,PA,1327
2020,B1,CB003,PA,1634
2020,B1,CB020,PA,1320
2020,B1,CB026,PA,1737
2020,B1,CB020,PA,1067
2020,B1,CB026,PA,1401
2020,B1,CB001,PA,1906
2020,B1,SZ001,AB,1860
2020,B1,CU020,PA,792
2020,B1,CB025,PA,1597
2020,B1,CB023,PA,1837
