Term,Catalog Nbr,Acad Prog,Grade,ID
2016,B1,CZ091,DPR,944
2016,B1,CB003,41,556
2016,B1,CB004,40,608
2016,B1,CB019,59,173
2016,B1,CB019,59,322
2016,B1,CB019,50,541
2016,B1,CB018,50,244
2016,B1,SB001,62,3
2016,B1,SB001,54,585
2016,B1,CB015,UP,454
2016,B1,CB019,71,522
2016,B1,CB011,42,172
2016,B1,CB023,37,264
2016,B1,CB023,40,195
2016,B1,CB003,70,382
2016,B1,CB003,86,468
2016,B1,CB003,89,549
2016,B1,CB019,72,203
2016,B1,CB001,37,428
2016,B1,CB003,65,448
2016,B1,CB020,69,317
2016,B1,CB001,AB,546
2016,B1,CB003,71,407
2016,B1,SB001,41,59
2016,B1,CB003,54,171
2016,B1,CB003,64,430
2016,B1,CB026,81,484
2016,B1,CB003,100,396
2016,B1,CB019,63,533
2016,B1,SB001,36,183
2016,B1,CB019,64,538
2016,B1,CB026,54,371
2016,B1,CB004,49A,431
2016,B1,CB019,82,521
2016,B1,CB025,75,398
2016,B1,CB004,DPR,27
2016,B1,CG031,67,68
2016,B1,CB025,54,414
2016,B1,CB019,40,199
2016,B1,CB020,75,140
2016,B1,CB011,43,535
2016,B1,SB001,79,193
2016,B1,CB004,35,443
2016,B1,CB026,78,290
2016,B1,CB004,36,280
2016,B1,CB020,46,318
2016,B1,CB003,78,315
2016,B1,CB004,33,413
2016,B1,SB001,42,375
2016,B1,CB015,27,544
2016,B1,CB020,63,337
2016,B1,CB004,45,571
2016,B1,CB003,50,216
2016,B1,CB020,75,167
2016,B1,CB003,96,418
2016,B1,CB003,89,467
2016,B1,CB003,79,465
2016,B1,CB003,69,564
2016,B1,CB004,61,531
2016,B1,CB004,61,420
2016,B1,CB015,DPR,226
2016,B1,CB019,71,565
2016,B1,CB004,DPR,360
2016,B1,CB004,41,374
2016,B1,SB001,53,241
2016,B1,CB004,43,646
2016,B1,CB003,73,427
2016,B1,SB001,53,623
2016,B1,CB019,62,463
2016,B1,CB015,43,149
2016,B1,SB001,54,287
2016,B1,CB019,55,550
2016,B1,CB020,60,309
2016,B1,CB004,43,492
2016,B1,SB016,58,357
2016,B1,CB023,UP,181
2016,B1,CB004,50,366
2016,B1,CB024,37,596
2016,B1,CB003,99,373
2016,B1,CB003,AB,526
2016,B1,CB025,71,539
2016,B1,CB011,39,84
2016,B1,CB019,45,395
2016,B1,CB018,73,274
2016,B1,SB001,DPR,15
2016,B1,CB011,55,16
2016,B1,CB011,42,236
2016,B1,CB011,38,192
2016,B1,CB001,23,308
2016,B1,SB001,56,506
2016,B1,SB001,61,563
2016,B1,CB015,50,101
2016,B1,CB020,66,327
2016,B1,CB011,34,217
2016,B1,CB011,28,218
2016,B1,CB001,34,230
2016,B1,CB024,36,386
2016,B1,CB023,29,302
2016,B1,SB001,60,451
2016,B1,CB020,72,224
2016,B1,CB003,UP,392
2016,B1,CB011,45A,178
2016,B1,CB001,21,298
2016,B1,CB001,70,639
2016,B1,SB001,77,593
2016,B1,CB001,33,626
2016,B1,SB016,35,349
2016,B1,CB020,57,352
2016,B1,CB003,74,403
2016,B1,CB003,85,131
2016,B1,CB003,73,517
2016,B1,CB003,58,508
2016,B1,CB004,51,437
2016,B1,CB024,DPR,548
2016,B1,CB020,58,247
2016,B1,CB011,74,75
2016,B1,CB019,68,605
2016,B1,CB019,50,136
2016,B1,CB004,41,174
2016,B1,CB018,84,355
2016,B1,CB026,59,496
2016,B1,SB001,AB,582
2016,B1,CB019,72,530
2016,B1,CB001,34,285
2016,B1,CB019,73,369
2016,B1,CB020,53,342
2016,B1,CB003,88,624
2016,B1,CB015,35,494
2016,B1,CB011,36,307
2016,B1,CB001,37,599
2016,B1,CB004,36,569
2016,B1,CB020,50,293
2016,B1,CB020,54,214
2016,B1,CB018,79,260
2016,B1,CB018,65,341
2016,B1,CB020,51,246
2016,B1,CB011,53,85
2016,B1,CB019,UP,239
2016,B1,CB020,63,401
2016,B1,CB018,73,283
2016,B1,CB020,78,234
2016,B1,CB024,43,469
2016,B1,CB020,50,227
2016,B1,CB001,53,553
2016,B1,CB001,AB,634
2016,B1,CB019,66,212
2016,B1,CB020,54,331
2016,B1,CB015,33,291
2016,B1,CB025,85,422
2016,B1,CB001,56,278
2016,B1,CB004,DPR,168
2016,B1,CB001,41,146
2016,B1,CB020,59,461
2016,B1,CB024,68,345
2016,B1,CB011,51,324
2016,B1,CB001,54,319
2016,B1,SB001,AB,13
2016,B1,CB011,43,240
2016,B1,CB004,42,265
2016,B1,CB004,28,169
2016,B1,CB001,58,411
2016,B1,CB019,66,389
2016,B1,CB019,75,655
2016,B1,CB003,57,446
2016,B1,CB003,89,574
2016,B1,SB001,39,92
2016,B1,CB019,55,615
2016,B1,CB003,68,466
2016,B1,CB001,57,144
2016,B1,CB020,58,124
2016,B1,CB019,80,459
2016,B1,CB003,85,622
2016,B1,CB003,83,160
2016,B1,CB004,35,498
2016,B1,CB011,75,117
2016,B1,CB020,72,276
2016,B1,SB001,61,378
2016,B1,CB020,61,282
2016,B1,CB019,60,394
2016,B1,CB020,67,310
2016,B1,CB019,66,376
2016,B1,CB015,42,134
2016,B1,CB004,DPR,527
2016,B1,CB004,40,385
2016,B1,SB001,89,638
2016,B1,SB001,43,157
2016,B1,CB001,UP,480
2016,B1,CB004,21,329
2016,B1,CB003,77,499
2016,B1,CB003,UP,364
2016,B1,CB001,33,656
2016,B1,CB025,53,577
2016,B1,CB023,9,495
2016,B1,CB026,74,421
2016,B1,CB004,53,303
2016,B1,CB004,DPR,185
