Term,Catalog Nbr,Acad Prog,Grade,ID
2020,A1,SB016,PA,1793
2020,A1,CB001,F,2015
2020,A1,CB004,F,2016
2020,A1,SB001,PA,2192
2020,A1,CB004,PA,1928
2020,A1,CB001,PA,1999
2020,A1,SB001,PA,1616
2020,A1,CB003,PA,2134
2020,A1,SB001,PA,1927
2020,A1,LB002,AB,1961
2020,A1,CB004,PA,1542
2020,A1,CB003,PA,2145
2020,A1,HB001,AB,62
2020,A1,CB004,F,2173
2020,A1,CB001,PA,1715
2020,A1,SB001,PA,2230
2020,A1,CB004,PA,1822
2020,A1,SB001,PA,1945
2020,A1,CB001,PA,2048
2020,A1,SB001,PA,2141
2020,A1,CB004,PA,2124
2020,A1,CB001,AB,1764
2020,A1,CB004,PA,1994
2020,A1,SB001,PA,1984
2020,A1,CB004,PA,1970
2020,A1,CB003,PA,1971
2020,A1,SB001,PA,31
2020,A1,CB004,PA,2085
2020,A1,CB001,PA,2094
2020,A1,CB001,F,1957
2020,A1,CB003,PA,1934
2020,A1,CB003,PA,2179
2020,A1,CB004,PA,2027
2020,A1,HB001,PA,2026
2020,A1,CB004,PA,1944
2020,A1,CB003,PA,1972
2020,A1,CB003,PA,2104
2020,A1,SB001,PA,2174
2020,A1,CB004,PA,1592
2020,A1,HB027,46A,2061
2020,A1,SB001,PA,559
2020,A1,CB001,PA,1729
2020,A1,SB001,PA,534
2020,A1,CB003,PA,1980
2020,A1,SB016,F,1907
2020,A1,CB003,PA,2080
2020,A1,SB001,F,2240
2020,A1,SB001,PA,2198
2020,A1,SB001,F,1950
2020,A1,SB001,PA,2252
2020,A1,CB003,PA,2123
2020,A1,CB001,PA,2040
2020,A1,CB003,PA,2033
2020,A1,SB001,F,2126
2020,A1,CB001,F,1826
2020,A1,CB003,PA,2237
2020,A1,CB001,F,2160
2020,A1,CB004,AB,1571
2020,A1,EB022,PA,2181
2020,A1,CB001,PA,2264
2020,A1,SB001,PA,2101
2020,A1,CB003,PA,2162
2020,A1,CB001,PA,2180
2020,A1,CB003,PA,2071
2020,A1,CB003,PA,1803
2020,A1,CB004,INC,1987
2020,A1,CB003,PA,1941
2020,A1,CB004,PA,1991
2020,A1,CB003,PA,1967
2020,A1,CB004,PA,1831
2020,A1,CB003,PA,2144
2020,A1,SB001,PA,2165
2020,A1,SB001,PA,2023
2020,A1,CB003,PA,2187
2020,A1,CB004,PA,2266
2020,A1,CB004,PA,1946
2020,A1,CB001,AB,1468
2020,A1,CB001,AB,2236
2020,A1,SB001,PA,2238
2020,A1,CB003,PA,2256
2020,A1,CB003,PA,2100
2020,A1,SB001,PA,2079
2020,A1,CB004,PA,1993
2020,A1,CB003,PA,2137
2020,A1,CB004,PA,2036
2020,A1,CB001,PA,2132
2020,A1,CB004,PA,1802
2020,A1,CB004,PA,1986
2020,A1,CB003,PA,1965
2020,A1,CB019,PA,1336
2020,A1,SB001,PA,2154
2020,A1,SB001,PA,1953
2020,A1,CB001,PA,1144
2020,A1,CB001,PA,1973
2020,A1,CB004,AB,1781
2020,A1,CB019,PA,1886
2020,A1,CB003,PA,1982
2020,A1,SB001,PA,1979
2020,A1,SB001,F,1718
2020,A1,SB001,AB,2078
2020,A1,CB001,PA,1954
2020,A1,CB001,F,1901
2020,A1,CB004,PA,2053
2020,A1,CB001,PA,1633
2020,A1,SB001,PA,1983
2020,A1,CB003,PA,1997
2020,A1,CB004,PA,2151
2020,A1,CB004,PA,1804
2020,A1,CB003,PA,2014
2020,A1,SB001,F,2001
2020,A1,CB001,PA,2213
2020,A1,CB004,PA,1958
2020,A1,CB001,PA,1662
2020,A1,CB004,PA,1937
2020,A1,SB001,F,2189
2020,A1,CB019,PA,1694
2020,A1,CB004,AB,22
2020,A1,CB004,PA,2097
2020,A1,SB001,AB,1214
2020,A1,SB001,PA,1487
2020,A1,CB001,PA,2197
2020,A1,SB001,PA,1741
2020,A1,SB001,AB,2052
2020,A1,SB001,AB,2254
2020,A1,CB003,AB,2044
2020,A1,SB001,PA,2249
2020,A1,CB004,PA,1960
2020,A1,SB001,PA,1836
2020,A1,SB016,F,1862
2020,A1,SB001,PA,1975
2020,A1,SB001,PA,1703
2020,A1,SB001,F,1877
2020,A1,CB004,PA,2175
2020,A1,CB003,PA,2068
2020,A1,SB001,F,359
2020,A1,CB001,PA,1157
2020,A1,SB001,PA,2020
2020,A1,SB001,F,2212
