Term,Catalog Nbr,Acad Prog,Grade,ID
2015,B2,CB019,64,42
2015,B2,CB001,41,81
2015,B2,CB025,54,142
2015,B2,SB001,64,106
2015,B2,CB003,75,198
2015,B2,SB001,56,90
2015,B2,CB003,72,98
2015,B2,SB001,60,121
2015,B2,CB011,59,6
2015,B2,CB003,78,194
2015,B2,CB019,79,141
2015,B2,CB003,87,213
2015,B2,CB003,57,176
2015,B2,CB019,52,38
2015,B2,CB019,56,203
2015,B2,CB019,71,133
2015,B2,CB003,62,326
2015,B2,CB003,75,208
2015,B2,CB003,87,137
2015,B2,CB025,52,190
2015,B2,CB020,50,207
2015,B2,CB019,68,272
2015,B2,CB020,58,24
2015,B2,CB003,73,191
2015,B2,CB019,67,152
2015,B2,SB001,68,107
2015,B2,SB001,51,5
2015,B2,SB001,55,193
2015,B2,HZ092,53,661
2015,B2,CB019,79,162
2015,B2,CB026,58,229
2015,B2,CB020,56,120
2015,B2,CB026,65,290
2015,B2,CB011,44,20
2015,B2,CB019,71,135
2015,B2,CB003,84,163
2015,B2,CB020,75,56
2015,B2,SB001,51,263
2015,B2,CB019,61,132
2015,B2,CB004,44,256
2015,B2,CB003,56,292
2015,B2,SB001,58,95
2015,B2,CB019,72,130
2015,B2,CB015,63,49
2015,B2,CB003,62,139
2015,B2,CB003,77,37
2015,B2,CB003,78,179
2015,B2,CB003,79,79
2015,B2,CB003,89,316
2015,B2,CB019,UP,201
2015,B2,CB020,43,39
2015,B2,CB020,57,57
2015,B2,CB011,UP,35
2015,B2,SB001,79,175
2015,B2,SB001,61,268
2015,B2,CB019,61,166
2015,B2,CB011,42,77
2015,B2,CB011,44,78
2015,B2,CB001,59,26
2015,B2,CB011,AB,16
2015,B2,SB001,DPR,336
2015,B2,CB011,37,80
2015,B2,CB025,73,228
2015,B2,CB001,71,154
2015,B2,CB011,57,61
2015,B2,CB015,34,101
2015,B2,CB020,67,103
2015,B2,CB024,54,232
2015,B2,CB019,50,119
2015,B2,SB001,60,153
2015,B2,CB019,71,40
2015,B2,CB020,50,223
2015,B2,CB025,79,170
2015,B2,CB011,51,348
2015,B2,CB018,80,116
2015,B2,CB020,50,28
2015,B2,CB011,47,75
2015,B2,CB019,UP,111
2015,B2,SB001,58,271
2015,B2,CB003,80,54
2015,B2,CB025,83,129
2015,B2,CB001,50,275
2015,B2,CB020,69,50
2015,B2,CB018,60,41
2015,B2,CB003,68,105
2015,B2,CB003,71,127
2015,B2,CB011,42,85
2015,B2,CB019,57,118
2015,B2,SB001,52,63
2015,B2,CB011,47A,14
2015,B2,CB003,73,186
2015,B2,CB003,67,147
2015,B2,CB011,34,87
2015,B2,CB018,61,97
2015,B2,CG031,66,18
2015,B2,CB020,53,88
2015,B2,CB020,71,304
2015,B2,CB020,72,109
2015,B2,CB003,54,249
2015,B2,CB003,81,158
2015,B2,CB003,84,215
2015,B2,SB001,49,92
2015,B2,CB003,75,70
2015,B2,CB003,66,200
2015,B2,CB018,65,74
2015,B2,CB001,59,243
2015,B2,CB025,73,261
2015,B2,CG031,65,328
2015,B2,CB020,54,60
2015,B2,CB004,46A,112
2015,B2,CB003,69,160
2015,B2,CB003,41,126
2015,B2,CB011,51,117
2015,B2,CB019,56,48
2015,B2,CB025,76,262
2015,B2,CB003,58,67
2015,B2,CB026,70,205
2015,B2,CB011,60,55
2015,B2,CB003,84,45
2015,B2,CB019,72,125
2015,B2,CB025,85,150
2015,B2,CB011,48A,114
2015,B2,CB023,66,66
2015,B2,CB003,54,53
2015,B2,SB001,53,143
2015,B2,CB019,73,159
2015,B2,CB019,59,94
2015,B2,CB020,64,34
2015,B2,CB003,75,145
2015,B2,CB003,91,197
2015,B2,CB003,80,128
2015,B2,CB003,73,210
2015,B2,CB003,85,248
2015,B2,CB020,60,113
2015,B2,CB003,94,151
