Term,Catalog Nbr,Acad Prog,Grade,ID
2016,B2,CB003,35,556
2016,B2,CB019,38,173
2016,B2,CB019,57,322
2016,B2,CB019,78,541
2016,B2,CB018,72,244
2016,B2,SB001,69,3
2016,B2,SB001,75,585
2016,B2,CB015,41,454
2016,B2,CB019,59,522
2016,B2,CB023,28,195
2016,B2,CB003,57,382
2016,B2,CB003,82,468
2016,B2,CB003,78,549
2016,B2,CB003,60,448
2016,B2,CB020,61,317
2016,B2,CB003,76,407
2016,B2,CB003,57,171
2016,B2,CB003,55,430
2016,B2,CB026,80,484
2016,B2,CB003,88,396
2016,B2,CB019,59,533
2016,B2,CB019,66,538
2016,B2,CB026,69,371
2016,B2,CB019,82,521
2016,B2,CB025,76,398
2016,B2,CG031,38,68
2016,B2,CB025,59,414
2016,B2,CB019,50,199
2016,B2,CB020,57,140
2016,B2,CB011,15,535
2016,B2,CB020,50,318
2016,B2,CB003,74,315
2016,B2,SB001,50,375
2016,B2,CB015,33,544
2016,B2,CB020,76,337
2016,B2,CB004,48,571
2016,B2,CB003,71,216
2016,B2,CB020,57,167
2016,B2,CB003,83,418
2016,B2,CB003,83,467
2016,B2,CB003,65,465
2016,B2,CB003,50,564
2016,B2,CB004,41,420
2016,B2,CB019,70,565
2016,B2,SB001,25,241
2016,B2,CB004,31,646
2016,B2,CB003,55,427
2016,B2,SB001,45,623
2016,B2,CB019,70,463
2016,B2,SB001,51,287
2016,B2,CB019,38,550
2016,B2,CB020,47,309
2016,B2,SB016,46,357
2016,B2,CB020,70,39
2016,B2,CB023,50,181
2016,B2,CB004,50,366
2016,B2,CB024,50,596
2016,B2,CB003,81,373
2016,B2,CB011,57,77
2016,B2,CB011,59,78
2016,B2,CB025,71,539
2016,B2,CB019,44,395
2016,B2,CB018,74,274
2016,B2,CB011,34,16
2016,B2,SB001,50,506
2016,B2,SB001,39,563
2016,B2,CB015,62,101
2016,B2,CB020,41,327
2016,B2,CB011,37,217
2016,B2,CB011,AB,218
2016,B2,CB001,49,230
2016,B2,CB023,39,302
2016,B2,SB001,33,451
2016,B2,CB020,72,224
2016,B2,CB003,74,392
2016,B2,CB011,47A,178
2016,B2,CB001,AB,298
2016,B2,CB001,31,639
2016,B2,SB001,77,593
2016,B2,CB001,38,626
2016,B2,SB016,20,349
2016,B2,CB020,64,352
2016,B2,CB003,83,403
2016,B2,CB003,82,131
2016,B2,CB003,85,517
2016,B2,CB003,64,508
2016,B2,CB004,39,437
2016,B2,CB020,52,247
2016,B2,CB011,57,75
2016,B2,CB019,49,605
2016,B2,CB019,49,136
2016,B2,CB018,64,355
2016,B2,CB026,54,496
2016,B2,CB019,50,530
2016,B2,CB019,72,369
2016,B2,CB020,39,342
2016,B2,CB003,72,624
2016,B2,CB015,52,494
2016,B2,CB011,23,307
2016,B2,CB001,41,599
2016,B2,CB004,41,569
2016,B2,CB018,67,43
2016,B2,CB020,58,293
2016,B2,CB020,66,214
2016,B2,CB018,80,260
2016,B2,CB018,UP,341
2016,B2,CB020,64,246
2016,B2,CB011,32,85
2016,B2,CB019,57,239
2016,B2,CB020,52,401
2016,B2,CB018,75,283
2016,B2,CB020,65,234
2016,B2,CB024,40,469
2016,B2,CB020,57,227
2016,B2,CB001,UP,553
2016,B2,CB019,55,212
2016,B2,CB020,40,331
2016,B2,CB025,70,422
2016,B2,CB001,34,278
2016,B2,CB004,LOA,168
2016,B2,CB020,50,461
2016,B2,CB024,50,345
2016,B2,CB001,62,319
2016,B2,SB001,AB,13
2016,B2,CB001,53,411
2016,B2,CB019,63,389
2016,B2,CB019,59,655
2016,B2,CB003,59,446
2016,B2,CB003,76,574
2016,B2,CB019,78,615
2016,B2,CB003,74,466
2016,B2,CB001,29,144
2016,B2,CB020,56,124
2016,B2,CB019,64,459
2016,B2,CB003,77,622
2016,B2,CB004,40,498
2016,B2,CB003,75,126
2016,B2,CB020,62,276
2016,B2,SB001,48,378
2016,B2,CB020,49,282
2016,B2,CB019,58,394
2016,B2,CB020,55,310
2016,B2,CB019,70,376
2016,B2,CB004,50,385
2016,B2,SB001,85,638
2016,B2,SB001,25,157
2016,B2,CB001,63,480
2016,B2,CB003,62,499
2016,B2,CB003,62,364
2016,B2,CB025,59,577
2016,B2,CB023,41,495
2016,B2,CB026,74,421
2016,B2,CB020,36,242
2016,B2,CB020,50,206
2016,B2,CB004,UP,434
2016,B2,CB019,61,415
2016,B2,CB019,53,419
2016,B2,CB020,26,251
2016,B2,CB020,65,567
2016,B2,CB020,54,257
2016,B2,CB003,55,486
2016,B2,CB003,79,450
2016,B2,CB003,66,435
2016,B2,CB003,64,462
2016,B2,CB003,54,489
2016,B2,CB011,30,65
2016,B2,CB011,53,250
2016,B2,CB026,70,490
2016,B2,CB019,79,558
2016,B2,CB019,44,579
2016,B2,CB003,47,483
2016,B2,CB020,63,356
2016,B2,CB019,60,600
2016,B2,CB003,70,573
2016,B2,CB019,83,412
