Term,Catalog Nbr,Acad Prog,Grade,ID
2017,A1,CB001,63,1073
2017,A1,CB003,72,1125
2017,A1,CB001,37,528
2017,A1,CB019,97,1007
2017,A1,SB001,68,1181
2017,A1,CB003,96,983
2017,A1,SB001,40,773
2017,A1,SB001,53,1242
2017,A1,CB019,90,1245
2017,A1,CB004,54,1200
2017,A1,CB004,29,994
2017,A1,CB001,66,1138
2017,A1,CB003,84,797
2017,A1,CB003,94,855
2017,A1,CB019,69,1119
2017,A1,CB001,91,1150
2017,A1,SB001,40,1156
2017,A1,CB019,69,1174
2017,A1,SB001,37,231
2017,A1,SB001,AB,1224
2017,A1,CB004,64,728
2017,A1,CB004,67,1249
2017,A1,CB019,73,1052
2017,A1,CB019,74,1197
2017,A1,CB001,UP,1238
2017,A1,SB001,50,1226
2017,A1,HB001,97,1169
2017,A1,SB001,56,981
2017,A1,SB001,63,1254
2017,A1,CB003,96,1004
2017,A1,CB004,56,1051
2017,A1,CB001,UP,1180
2017,A1,CB003,58,1131
2017,A1,CB019,100,1108
2017,A1,SB001,100,1186
2017,A1,SB001,74,967
2017,A1,CB011,AB,833
2017,A1,SB001,93,1187
2017,A1,CB003,83,1041
2017,A1,CB004,29,993
2017,A1,SB001,80,972
2017,A1,CB001,57,1068
2017,A1,SB001,78,10
2017,A1,CB001,75,1164
2017,A1,SB016,38,921
2017,A1,SB016,27,834
2017,A1,CB004,67,58
2017,A1,CB001,57,1243
2017,A1,CB019,59,988
2017,A1,SB001,57,1158
2017,A1,SB001,71,1179
2017,A1,CB004,64,955
2017,A1,CB019,92,991
2017,A1,SB001,69,1139
2017,A1,CB003,64,1081
2017,A1,CB019,56,1117
2017,A1,CB020,86,399
2017,A1,SB016,32,1248
2017,A1,SB016,73,758
2017,A1,CB019,88,980
2017,A1,CB003,77,1076
2017,A1,CB001,55,1148
2017,A1,CB019,68,952
2017,A1,CB019,73,1048
2017,A1,CB001,21,1230
2017,A1,CB004,28,1149
2017,A1,SB001,95,966
2017,A1,SB001,AB,1171
2017,A1,CB003,100,1055
2017,A1,EB001,85,1191
2017,A1,SB001,36,1237
2017,A1,CB004,46,1022
2017,A1,CB019,70,1232
2017,A1,SB001,AB,1099
2017,A1,CB003,73,1210
2017,A1,CB004,73,1030
2017,A1,CB004,52,1029
2017,A1,CB003,93,1046
2017,A1,SB001,33,1258
2017,A1,CB001,41,954
2017,A1,CB001,41,998
2017,A1,CB001,67,741
2017,A1,CB001,UP,536
2017,A1,EB015,18,1088
2017,A1,CG031,56,1262
2017,A1,SB001,72,1074
2017,A1,CB003,93,1183
2017,A1,CB019,81,1000
2017,A1,CB003,81,977
2017,A1,SB001,61,1031
2017,A1,CB004,88,1122
2017,A1,CB004,66,1206
2017,A1,CB019,90,689
2017,A1,CB001,31,1211
2017,A1,CB001,56,1065
2017,A1,CB001,50,1026
2017,A1,CB004,62,1136
2017,A1,CB019,76,969
2017,A1,CB004,28,1146
2017,A1,SB001,61,937
2017,A1,SB016,AB,637
2017,A1,SB016,30,904
2017,A1,CB001,37,992
2017,A1,CB004,84,1127
2017,A1,CB003,93,1018
2017,A1,CB003,84,1107
2017,A1,SB001,70,1184
2017,A1,CB001,DE,829
2017,A1,CB003,69,1209
2017,A1,CB004,22,1002
2017,A1,CB004,53,959
2017,A1,SB001,84,1015
2017,A1,CB019,70,942
2017,A1,CB004,50,974
2017,A1,CB004,62,1032
2017,A1,CB003,61,1163
2017,A1,CB001,AB,763
2017,A1,CB004,71,1035
2017,A1,SB016,28,900
2017,A1,SB001,25,104
