Term,Catalog Nbr,Acad Prog,Grade,ID
2022,A1,CB004,AB,2581
2022,A1,SB001,84,2612
2022,A1,CB003,UP,2731
2022,A1,CB004,67,2274
2022,A1,CB001,59,2560
2022,A1,CB003,92,2629
2022,A1,CB003,UP,2761
2022,A1,CB003,60,2813
2022,A1,SB001,84,2785
2022,A1,SB001,54,2647
2022,A1,SB001,56,2320
2022,A1,CB019,62,1680
2022,A1,SB001,54,1491
2022,A1,SB001,80,2300
2022,A1,CB004,37,2798
2022,A1,CB003,61,2653
2022,A1,CB019,79,2786
2022,A1,CB003,80,2746
2022,A1,CB004,44,2743
2022,A1,CB004,42,2801
2022,A1,CB003,84,2633
2022,A1,CB003,80,2704
2022,A1,CB003,75,2619
2022,A1,CB003,61,2662
2022,A1,CB003,69,2757
2022,A1,CB004,52,2296
2022,A1,CB003,57,2799
2022,A1,HB003,69,2762
2022,A1,CB003,62,2700
2022,A1,CB004,DPR,1889
2022,A1,CB003,59,2756
2022,A1,CB003,56,1794
2022,A1,CB003,57,2687
2022,A1,CB003,77,2631
2022,A1,CB004,37,2817
2022,A1,CB003,UP,2815
2022,A1,SB001,68,2818
2022,A1,CB004,28,2764
2022,A1,CB003,63,2638
2022,A1,CB003,81,2239
2022,A1,CB004,UP,2610
2022,A1,CB003,88,2697
2022,A1,CB001,UP,2635
2022,A1,SB001,DPR,2247
2022,A1,CB003,67,2780
2022,A1,CB004,61,2522
2022,A1,CB001,13,2698
2022,A1,CB018,87,1923
2022,A1,CB004,64,2106
2022,A1,CB003,74,2696
2022,A1,CB003,81,2692
2022,A1,CB003,80,2674
2022,A1,SB001,36,2616
2022,A1,CB001,41,2496
2022,A1,CZ001,72,663
2022,A1,CB003,66,2714
2022,A1,CB003,50,2722
2022,A1,CB004,41,2720
2022,A1,CB004,30,2659
2022,A1,CB003,77,2807
2022,A1,CB003,72,2315
2022,A1,CB004,75,2792
2022,A1,CB004,78,2672
2022,A1,CB001,63,2402
2022,A1,CB003,69,2691
2022,A1,CB023,67,1740
2022,A1,SB001,DPR,1383
2022,A1,CB001,34,2740
2022,A1,CB003,54,2678
2022,A1,SB001,51,2725
2022,A1,SB001,DPR,2811
2022,A1,CB004,50,2582
2022,A1,CB019,59,2575
2022,A1,CB001,66,2357
2022,A1,SB001,34,2557
2022,A1,CB003,59,2713
2022,A1,SB001,63,2454
2022,A1,CB003,82,2733
2022,A1,SB001,58,2755
2022,A1,CB003,59,2693
2022,A1,SB001,67,2723
2022,A1,CB026,88,1330
2022,A1,SB001,62,2593
2022,A1,CB003,60,2763
2022,A1,CB004,62,2489
2022,A1,CB003,77,2778
2022,A1,CB003,58,2683
2022,A1,CB001,58,1437
2022,A1,CB004,UP,2758
2022,A1,CB003,86,2613
2022,A1,CB004,39,2770
2022,A1,CB003,69,2769
2022,A1,SB001,53,2158
2022,A1,CB003,DPR,2788
2022,A1,CB004,67,2812
2022,A1,CB003,80,2752
2022,A1,CB004,51,2614
2022,A1,CB003,53,2794
2022,A1,SB001,30,2660
2022,A1,CB001,58,2664
2022,A1,CB003,62,2618
2022,A1,CB003,75,2641
2022,A1,SB001,13,2806
2022,A1,CB001,DPR,829
2022,A1,CB019,73,2727
2022,A1,CB001,40,2486
2022,A1,CB001,29,2294
2022,A1,CB004,51,2779
2022,A1,CB019,81,2004
2022,A1,CB003,71,2272
2022,A1,CB003,89,2675
2022,A1,CB004,31,2658
2022,A1,CB003,52,2775
2022,A1,CB001,74,2337
2022,A1,CB019,34,2621
2022,A1,SB001,44,2463
2022,A1,CB001,51,2321
2022,A1,CB003,INC,2707
2022,A1,CB004,57,2579
2022,A1,CB004,54,2407
2022,A1,CB003,62,2685
2022,A1,CB019,52,2665
2022,A1,CB004,29,2702
2022,A1,CB001,25,2310
2022,A1,CB004,42,2754
2022,A1,CB003,86,2637
2022,A1,SB001,50,2699
2022,A1,CB003,57,2673
2022,A1,CB004,56,2625
2022,A1,CB004,19,2632
2022,A1,CB003,64,2684
2022,A1,CB003,58,2599
2022,A1,CB019,72,2805
2022,A1,SB001,76,2642
2022,A1,SB001,74,2734
2022,A1,CB004,54,2712
2022,A1,CB004,UP,2710
2022,A1,CB004,47A,2427
2022,A1,SB001,56,2819
2022,A1,HB001,DPR,2820
2022,A1,SB001,UP,2803
2022,A1,SB016,DPR,2171
2022,A1,CB001,42,1323
2022,A1,CB003,67,2766
2022,A1,CB004,AB,2789
2022,A1,CB004,41,2607
2022,A1,CB004,52,2814
2022,A1,SB001,DPR,1914
2022,A1,CB004,34,2508
2022,A1,CB003,UP,2741
2022,A1,CB004,15,2630
2022,A1,HB003,37,2235
2022,A1,CB003,66,2800
2022,A1,SB001,DPR,2753
2022,A1,CB003,83,2694
2022,A1,HB001,50,2776
2022,A1,CB003,UP,2711
2022,A1,CB004,28,2768
2022,A1,CB003,66,2703
2022,A1,CB003,51,2611
2022,A1,CB003,75,2604
2022,A1,CB003,88,2688
2022,A1,SB001,35,2793
2022,A1,HB001,53,2517
2022,A1,CB004,50,2457
2022,A1,CB003,82,2663
2022,A1,CB004,43,2751
2022,A1,CB004,60,2330
2022,A1,CB003,LOA,2657
2022,A1,CB004,41,2726
2022,A1,SB001,UP,2498
2022,A1,SB001,62,2670
2022,A1,SB001,39,2669
2022,A1,CB003,70,2289
2022,A1,CB004,35,2739
2022,A1,CB003,73,2615
2022,A1,CB001,27,2735
2022,A1,CB003,85,2728
2022,A1,CB004,DPR,2297
2022,A1,CB003,59,1595
2022,A1,CB003,87,2667
2022,A1,SB001,32,2790
2022,A1,SB016,67,2409
2022,A1,CB004,62,2781
2022,A1,CB004,56,2715
2022,A1,SB001,62,2563
2022,A1,CB001,56,2530
2022,A1,CB003,74,2107
2022,A1,CB003,64,2724
2022,A1,CB003,83,2643
2022,A1,SB001,69,2634
2022,A1,CB003,83,2796
2022,A1,CH001,42,1103
2022,A1,SB001,57,2226
2022,A1,CB004,20,2640
2022,A1,CB003,78,2760
2022,A1,CB019,74,2742
2022,A1,CB004,UP,2681
2022,A1,CB001,LOA,2602
2022,A1,CB003,90,2717
2022,A1,SB001,51,2588
2022,A1,CB004,62,2329
2022,A1,CB003,86,2646
2022,A1,CB003,75,1749
2022,A1,CB004,40,2783
2022,A1,CB003,80,2732
2022,A1,CB004,62,2472
2022,A1,CB019,63,2809
2022,A1,CB003,84,2298
2022,A1,CB003,80,2666
2022,A1,SB001,DPR,2570
2022,A1,SB001,DPR,2178
2022,A1,CB003,69,2620
2022,A1,HB001,55,23
2022,A1,CB004,UP,2748
2022,A1,CB004,42,2360
2022,A1,CB004,65,2384
2022,A1,CB004,39,2679
2022,A1,SB001,62,2029
2022,A1,CB023,58,2385
2022,A1,CB003,59,2708
2022,A1,CB001,43,2305
2022,A1,SB001,66,2730
2022,A1,SB001,51,2551
2022,A1,SB001,42,2676
2022,A1,SB016,DPR,2583
2022,A1,CB003,71,2467
2022,A1,CB004,64,2521
2022,A1,SB001,37,2567
2022,A1,CB003,LOA,2773
2022,A1,CB024,52,2526
2022,A1,SB001,21,2808
2022,A1,SB001,UP,2777
2022,A1,CB001,40,2401
2022,A1,CB004,32,2802
2022,A1,CB004,DPR,2719
2022,A1,SB001,23,2253
2022,A1,CB004,92,2645
2022,A1,SB001,20,1447
2022,A1,CB004,40,2626
2022,A1,CB003,58,2652
2022,A1,SB001,UP,2566
2022,A1,CB003,88,2644
2022,A1,CB004,31,2677
2022,A1,CB004,53,2115
2022,A1,CB003,77,2668
2022,A1,CB003,58,2744
2022,A1,CB024,75,2391
